,Name,Price,Location,Model_Year,Mileage,Fuel_Type,Transmission,Year,Price_per_Mile,Brand,Brand_Model,Fuel,County
1741,Toyota Yaris 5-dörrar 1.3 VVT-i,15900,"Östersund, Jämtland",2003,19748,1.3L Petrol,Manual,2003,0.805144824792384,Toyota,Toyota Yaris,Petrol,Jämtland
1742,Ford Transit Custom 340 Plug-in Hybrid B-kamera 126hk,229900,"19162 Sollentuna, Stockholm",2021,6500,1.0L Hybrid,Automatic,2021,35.36923076923077,Ford,Ford Transit,Hybrid,Stockholm
1743,Volvo XC90 Recharge T8 AWD Geartronic Inscription /360’pano,510000,"Sydväst, Stockholm",2021,10200,2.0L Hybrid,Automatic,2021,50.0,Volvo,Volvo XC90,Hybrid,Stockholm
1744,"Porsche Panamera 4 E-Hybrid PDK Moms BOSE Pano 21"" Luftfjäd",839900,"63502 Eskilstuna, Södermanland",2021,8890,2.9L Hybrid,Automatic,2021,94.4769403824522,Porsche,Porsche Panamera,Hybrid,Södermanland
1745,BMW 218 Active Tourer i Sport line /Drag/P-sens/Låg skatt,119500,"LIDKÖPING, Västra Götaland",Oct 2016,9832,1.5L Petrol,Manual,2016,12.154190398698129,BMW,BMW 218,Petrol,Västra Götaland
1746,BMW 316 Compact i 1 brukare,24900,"helsingborg, Skåne",2001,20457,1.9L Petrol,Manual,2001,1.21718727086083,BMW,BMW 316,Petrol,Skåne
1747,"Volvo V60 D5 Plug-in Hybrid AWD Geartronic Classic, Momentum",169000,"Aneby, Jönköping",2018,17361,2.4L Hybrid,Automatic,2018,9.734462300558723,Volvo,Volvo V60,Hybrid,Jönköping
1748,Citroën C3 1.2 VTi Euro 6 -82hk * 3.9% ränta *,79900,"58561 Linghem, Östergötland",2016,7100,1.2L Petrol,Manual,2016,11.253521126760564,Citroën,Citroën C3,Petrol,Östergötland
1749,"Kia Picanto 1.1 ECO, GLS Euro 4",7000,"Salem, Stockholm",2006,20283,1.1L Petrol,Manual,2006,0.34511660010846523,Kia,Kia Picanto,Petrol,Stockholm
1750,Lexus NX300h AWD 2.5 AWD F Sport,269000,"Jönköping, Jönköping",2018,9894,2.5L Hybrid,Automatic,2018,27.188194865575095,Lexus,Lexus NX300h,Hybrid,Jönköping
1751,Volvo V40 CC D4 Summum*Nyservad*Nybesiktad*,134900,"Sandared, Västra Götaland",Oct 2013,13700,2.0L Diesel,Manual,2013,9.846715328467154,Volvo,Volvo V40,Diesel,Västra Götaland
1752,Toyota Avensis Kombi 2.0 Multidrive S /Drag/Navi/B-kamera,35500,"LIDKÖPING, Västra Götaland",Feb 2010,34976,2.0L Petrol,Automatic,2010,1.014981701738335,Toyota,Toyota Avensis,Petrol,Västra Götaland
1753,Mazda CX-60 PHEV Takumi / HuD/ BOSE 360° Navi/S/V-hjul,435000,"Växjö, Kronoberg",2023,3618,2.5L Hybrid,Automatic,2023,120.23217247097844,Mazda,Mazda CX-60,Hybrid,Kronoberg
1754,BMW 116 d 5-dörrars Steptronic Euro 5,90000,"uppsala, Uppsala",2013,20800,2.0L Diesel,Automatic,2013,4.326923076923077,BMW,BMW 116,Diesel,Uppsala
1755,BMW X6 X6X-Drive40d Steptronic Euro 6,318500,"Svenljunga  Svenljunga, Västra Götaland",Jun 2015,14408,3.0L Diesel,Automatic,2015,22.105774569683508,BMW,BMW X6,Diesel,Västra Götaland
1756,Skoda Superb 1.8 TSI 4x4 Elegance Euro 5 /Drag/P-sens/Navi,57500,"53140 Lidköping, Västra Götaland",Feb 2011,19406,1.8L Petrol,Manual,2011,2.963001133669999,Skoda,Skoda Superb,Petrol,Västra Götaland
1757,Seat Ibiza 5-dörrar 1.4 Euro 4,29900,"ESKILSTUNA, Södermanland",Dec 2008,16100,1.4L Petrol,Manual,2008,1.8571428571428572,Seat,Seat Ibiza,Petrol,Södermanland
1758,Toyota C-HR 1.2 Turbo AWD/Multidrive S Active/B-kamera/Navi,154500,"53140 Lidköping, Västra Götaland",Aug 2019,17958,1.2L Petrol,Automatic,2019,8.603407951887737,Toyota,Toyota C-HR,Petrol,Västra Götaland
1759,BMW 118 I 5-dörrars Advantage Euro 6,135000,"Laholm, Halland",2017,9836,1.5L Petrol,Manual,2017,13.725091500610004,BMW,BMW 118,Petrol,Halland
1760,Volvo V70 D2 Momentum drag,67000,"Bollnäs, Gävleborg",2013,28929,1.6L Diesel,Manual,2013,2.3160150713816585,Volvo,Volvo V70,Diesel,Gävleborg
1761,Nissan Navara ,95000,"Örebro, Örebro",2013,25500,2.5L Diesel,Automatic,2013,3.7254901960784315,Nissan,Nissan Navara,Diesel,Örebro
1762,BMW 520 d Touring Steptronic El-Drag 184hk,99900,"23162 Trelleborg, Skåne",2013,23907,2.0L Diesel,Automatic,2013,4.178692433178567,BMW,BMW 520,Diesel,Skåne
