Name,Price,Location,Model_Year,Mileage,Fuel_Type,Gearbox,Gearbox2
BMW M340 i xDrive Touring M Sport Pro/ Panorama/ HK/ Värmare,739500kr,"302 24 Halmstad, Halland",Jan 2023,613 mil,3.0L Petrol,Automatic,374 HP (275 kW)
BMW M3 Competition Touring / Kolfiberskalstolar / HK,1245000kr,"302 24 Halmstad, Halland",Aug 2024,595 mil,3.0L Petrol,Automatic,531 HP (390 kW)
DS Automobiles DS7 Crossback ,424500kr,"302 24 Halmstad, Halland",2024,100 mil,1.5L Diesel,Automatic,131 HP (96 kW)
BMW X1 xDrive25e Sport line/Head-up,334500kr,"302 24 Halmstad, Halland",Dec 2021,3730 mil,1.5L Hybrid,Automatic,221 HP (162 kW)
BMW X3 xDrive30e Luxury Line/ Head-up/ HiFi / Navigation,409500kr,"302 24 Halmstad, Halland",2021,7250 mil,2.0L Hybrid,Automatic,293 HP (215 kW)
BMW 118 i 5-door M Sport Euro 6 136hk,169500kr,"302 24 Halmstad, Halland",Mar 2019,9200 mil,1.5L Petrol,Manual,136 HP (100 kW)
"BMW i3 i3sAh Charged / 20"" /Navigation / 2941 Mil /1 ägare",224500kr,"302 24 Halmstad, Halland",Oct 2021,2941 mil,Electric,≈ 308 km,Automatic
BMW iX1 xDrive30 / M Sport / Businesspris,519500kr,"302 24 Halmstad, Halland",Nov 2023,850 mil,Electric,≈ 440 km,Automatic
BMW 330e Sedan Laddhybrid Sport line / 1 ägare/ Leasebar,269900kr,"302 24 Halmstad, Halland",Jan 2019,11894 mil,2.0L Hybrid,Automatic,293 HP (215 kW)
BMW 320 d xDrive Touring Sport line / Moms / 1 ägare,244900kr,"302 24 Halmstad, Halland",May 2021,15453 mil,2.0L Diesel,Automatic,191 HP (140 kW)
BMW 520 d xDrive Sedan HiFi Nav Dragkrok 190 hk,339500kr,"302 24 Halmstad, Halland",Sep 2019,7065 mil,2.0L Diesel,Automatic,191 HP (140 kW)
BMW 330e xDrive Touring Model Sport / Harman Kardon/Leasebar,339500kr,"302 24 Halmstad, Halland",Apr 2021,2877 mil,2.0L Hybrid,Automatic,293 HP (215 kW)
BMW i5 eDrive40 Sedan M Sport Pro / Innovation / Leasebar,674400kr,"302 24 Halmstad, Halland",Jul 2023,400 mil,Electric,≈ 582 km,Automatic
Hyundai Ioniq 5 77.4 kWh Advanced RWD,549900kr,"302 24 Halmstad, Halland",2024,Electric,≈ 400 km,Automatic,167 kW (228 HP)
BMW X3 | xDrive30e | HiFi | Dragkrok |,329500kr,"302 24 Halmstad, Halland",Sep 2021,12080 mil,2.0L Electric/Petrol,Automatic,293 HP (215 kW)
Mini Cooper SE Experience Package / Head up/ Backkamera,209500kr,"302 24 Halmstad, Halland",Nov 2021,3845 mil,Electric,≈ 234 km,Automatic
Mini Cooper SE / Carplay / Navi / Backkamera,189500kr,"302 24 Halmstad, Halland",Jul 2021,5425 mil,Electric,≈ 234 km,Automatic
BMW 330e xDrive Touring | HiFi | Aktiv fartpilot med Stop&Go,344500kr,"302 24 Halmstad, Halland",Nov 2021,4055 mil,2.0L Hybrid,Automatic,293 HP (215 kW)
Mini Cooper SE Essential / Carplay / Navi / Värmare,214500kr,"302 24 Halmstad, Halland",Oct 2022,3514 mil,Electric,≈ 402 km,Automatic
Mini Cooper SE Essential Backkamera Navi 184 hk,214500kr,"302 24 Halmstad, Halland",Jul 2022,3998 mil,Electric,≈ 201 km,Automatic
BMW X5 xDrive45e M Sport/ Dragkrok/ Luftfjädring,654500kr,"302 24 Halmstad, Halland",May 2022,6114 mil,3.0L Hybrid,Automatic,395 HP (290 kW)
"BMW iX1 i xDrive30 / M Sport / Innovation / 19"" / Adaptiv",539500kr,"302 24 Halmstad, Halland",Nov 2023,1322 mil,Electric,≈ 440 km,Automatic
BMW iX2 xDrive30 / M Sport Active Launch Edition / Rattvärme,639500kr,"302 24 Halmstad, Halland",2024,Electric,≈ 449 km,Automatic,230 kW (313 HP)
BMW iX2 xDrive30 / M-Sport / Adaptiv farthållare / Dragkrok,639500kr,"302 24 Halmstad, Halland",2024,Electric,≈ 449 km,Automatic,230 kW (313 HP)
Maxus eDeliver 9 N1 88.5 kWh L3H2 11m3 200 HK FD Demo,500000kr,"242 35 Hörby, Skåne",2021,1051 mil,Electric,Automatic,150 kW (204 HP)
BMW X5 xDrive 50e M-Pro / Innovation / Comfort Plus / HK,1235000kr,"302 24 Halmstad, Halland",2025,3.0L Electric/Petrol,Automatic,490 HP (360 kW),"302 24 Halmstad, Halland"
BMW X5 xDrive 50e M-Pro / Innovation / Comfort Plus / HK,1265000kr,"302 24 Halmstad, Halland",2025,3.0L Electric/Petrol,Automatic,490 HP (360 kW),"302 24 Halmstad, Halland"
BMW X5 xDrive 50e M-Pro / Innovation / Comfort Plus / HK,1225000kr,"302 24 Halmstad, Halland",2025,3.0L Electric/Petrol,Automatic,490 HP (360 kW),"302 24 Halmstad, Halland"
BMW X5 xDrive 50e M-Sport Pro/ Innovation / Travel / HK,1125000kr,"302 24 Halmstad, Halland",2024,3.0L Hybrid,Automatic,490 HP (360 kW),"302 24 Halmstad, Halland"
"BMW X5 xDrive50e / M-sport Pro / Innovation / 22""",1095000kr,"302 24 Halmstad, Halland",2024,1 mil,3.0L Hybrid,Automatic,490 HP (360 kW)
BMW i5 eDrive40 / M Sport Active Launch Edition,719500kr,"302 24 Halmstad, Halland",2024,Electric,≈ 538 km,Automatic,290 kW (395 HP)
Citroën Berlingo L2 | Business | Demobil | 3 095:- /mån ex |,343125kr,"302 24 Halmstad, Halland",2024,300 mil,1.5L Diesel,Automatic,131 HP (96 kW)
Opel Combo-e Life L2H1 / Business / 280km WLTP / DRAGKROK,373125kr,"302 24 Halmstad, Halland",Oct 2023,395 mil,Electric,≈ 285 km,Automatic
"Ford Mustang GT 5,0 Convertible 450 hk",499500kr,"302 24 Halmstad, Halland",May 2018,1700 mil,5.0L Petrol,Automatic,451 HP (331 kW)
"BMW i4 eDrive40/ Fully Charged /19""/ Autonom körning",699500kr,"302 24 Halmstad, Halland",2024,1 mil,Electric,≈ 519 km,Automatic
Opel Corsa GS 130hk Automat/ Privatleasing,239900kr,"302 24 Halmstad, Halland",2024,1.2L Petrol,Automatic,131 HP (96 kW),125 g CO2/km comb.
Hyundai Kona 1.0 T-GDI DCT 120hk Nya Generationen,285900kr,"302 24 Halmstad, Halland",Oct 2023,150 mil,1.0L Petrol,Automatic,120 HP (88 kW)
Citroën C4 Shine Automat Privatleasing,279900kr,"302 24 Halmstad, Halland",Oct 2023,1.2L Petrol,Automatic,131 HP (96 kW),4.8 L/10mil
Kia EV3 58.3 kWh FWD 204hk Kampanj Billån,382807kr,"242 35 Hörby, Skåne",2025,Electric,Automatic,150 kW (204 HP),0 g CO2/km comb.
BMW X5 xDrive 50e M-Sport PRO / Innovation / HK / Dragkrok,1195000kr,"302 24 Halmstad, Halland",2024,3.0L Hybrid,Automatic,490 HP (360 kW),"302 24 Halmstad, Halland"
Peugeot 208 Allure 1.2 100hk,174499kr,"302 24 Halmstad, Halland",May 2023,3813 mil,1.2L Petrol,Manual,101 HP (74 kW)
BMW 120 i M Sport / Rattvärme / Nav / Backkamera,409500kr,"302 24 Halmstad, Halland",2024,1 mil,1.5L Petrol,Automatic,170 HP (125 kW)
Kia Sportage 1.6 T-GDi Plug-In Hybrid 265hk AUT AWD Advance,469475kr,"242 35 Hörby, Skåne",2024,1.6L Hybrid,Automatic,266 HP (195 kW),"242 35 Hörby, Skåne"
Citroën C4 PureTech Shine *Månadskostnad 2 737:-,284900kr,"302 24 Halmstad, Halland",1.2L Petrol,Automatic,131 HP (96 kW),4.8 L/10mil,"302 24 Halmstad, Halland"
BMW 330e xDrive Touring Laddhybrid Sport line/Panorama/ Moms,349500kr,"302 24 Halmstad, Halland",3 990 mil,2.0L Hybrid,Automatic,293 HP (215 kW),"302 24 Halmstad, Halland"
Citroën C4 Cactus 110Hk inkl Vinterhjul,104900kr,"60361 NORRKÖPING, Östergötland",Jan 2018,9 300 mil,1.2L Petrol,Manual,
Subaru Outback 2.5 4WD Summit Dragkrok/Taklucka/1 ägare/S&V,178900kr,"195 61 Arlandastad, Stockholm",Sep 2015,13546 mil,2.5L Petrol,Automatic,176 HP (129 kW)
Hyundai Ioniq 5 72.6 kWh AWD Advanced Automat,414900kr,"65341 Karlstad, Värmland",Jan 2021,4880 mil,Electric,≈ 462 km,Automatic
VW Touareg 3.0 V6 TDI 204hk 4M D-Värmare Drag Kamera,179900kr,"175 61 Järfälla, Stockholm",Mar 2016,17300 mil,3.0L Diesel,Automatic,204 HP (150 kW)
Volvo XC70 D4 AWD 181hk Automat Sport Edition Classic Euro 6,169900kr,"175 61 Järfälla, Stockholm",Apr 2016,27600 mil,2.4L Diesel,Automatic,181 HP (133 kW)
Citroën C4 1.2 Automat 130 Hk Shine inkl Vinterhjul,239900kr,"61244 Finspång, Östergötland",Jan 2023,3450 mil,1.2L Petrol,Automatic,131 HP (96 kW)
Mercedes Vito 111 CDI 2.8t 114hk 3-sits Lång Euro 6,129900kr,"175 61 Järfälla, Stockholm",2017,15200 mil,2.8L Diesel,Manual,115 HP (84 kW)
BMW 118 I 136hk Advantage Nybesiktigad t.o.m 2026 Välvårdad,109900kr,"175 61 Järfälla, Stockholm",Jan 2018,21000 mil,1.5L Petrol,Manual,136 HP (100 kW)
Porsche Cayenne 3.0 TipTronic S 340hk Dragkrok/Panorama/S&V,619900kr,"195 61 Arlandastad, Stockholm",Oct 2019,6445 mil,3.0L Petrol,Automatic,340 HP (250 kW)
Citroën C5 Tourer 3.0 V6 HDi 241hk AUT Exclusive D-Värmare,69900kr,"175 61 Järfälla, Stockholm",Jan 2011,20700 mil,3.0L Diesel,Automatic,241 HP (177 kW)
BMW X3 xDrive 20d X-Line Connected Winter Drag NAVI PANORAMA,419900kr,"195 61 Arlandastad, Stockholm",Oct 2020,4350 mil,2.0L Diesel,Automatic,191 HP (140 kW)
Nissan Juke 1.2 DIG-T N-Connecta/Dragkrok/S&V/Motorvärmare,94900kr,"195 61 Arlandastad, Stockholm",Jun 2018,13015 mil,1.2L Petrol,Manual,116 HP (85 kW)
Nissan Ariya Inkl Serviceavtal,463500kr,"195 61 Arlandastad, Stockholm",Jan 2024,1 mil,Electric,≈ 404 km,Automatic
Ford Transit 350 2.0 TDCi 170hk 3-sits Drag D-Värmare Euro 6,129900kr,"175 61 Järfälla, Stockholm",2018,18100 mil,2.0L Diesel,Manual,170 HP (125 kW)
Mercedes GLK220 CDI 170hk 7G-Tronic Dragkrok Nyservad,139900kr,"175 61 Järfälla, Stockholm",Mar 2013,18500 mil,2.1L Diesel,Automatic,170 HP (125 kW)
Subaru Crosstrek 2.0 Touring e-Boxer AWD X-Fuel / DEMO,389900kr,"195 61 Arlandastad, Stockholm",Sep 2024,500 mil,2.0L Ethanol (E85),Automatic,136 HP (100 kW)
Citroën C5 Aircross shine Automat 130hk vinterhjul,199900kr,"60361 NORRKÖPING, Östergötland",Jan 2021,6770 mil,1.2L Petrol,Automatic,131 HP (96 kW)
Mercedes C220 T d 170hk AMG Drag 360 Kamera Burmeister,159900kr,"175 61 Järfälla, Stockholm",Mar 2016,19800 mil,2.1L Diesel,Manual,170 HP (125 kW)
Subaru Solterra 72.6kWh AWD Limited *80.000kr extra rabatt*,489900kr,"195 61 Arlandastad, Stockholm",Jan 2024,Electric,≈ 466 km,Automatic,160 kW (218 HP)
Seat Leon ST 1.5 TSI 130hk FR/Beats ljudsystem/Drag/Keyless,149900kr,"195 61 Arlandastad, Stockholm",Feb 2019,10485 mil,1.5L Petrol,Manual,131 HP (96 kW)
Volvo V90 D5 AWD automat Momentum Advance,199900kr,"60361 NORRKÖPING, Östergötland",Oct 2016,25980 mil,2.0L Diesel,Automatic,236 HP (173 kW)
Mercedes E220 CDI 170hk 7G-Tronic AMG Drag Välvårdad,79900kr,"175 61 Järfälla, Stockholm",Jul 2012,33000 mil,2.1L Diesel,Automatic,170 HP (125 kW)
"Peugeot 308 GT PT 130 HK Automat 4,99% RÄNTA",239900kr,"65341 Karlstad, Värmland",Mar 2023,6428 mil,1.2L Petrol,Automatic,131 HP (96 kW)
VW Passat Kombi 2.0 TDI 190hk 4Motion GT Kamera Drag,139900kr,"175 61 Järfälla, Stockholm",Jun 2015,19400 mil,2.0L Diesel,Automatic,191 HP (140 kW)
VW Passat Sportscombi 1.4 TSI 10000 mil Cockpit Drag,169900kr,"175 61 Järfälla, Stockholm",Dec 2018,10000 mil,1.4L Petrol,Manual,150 HP (110 kW)
VW Crafter 35 2.0 TDI 163hk D-Värmare Kamera Euro 6,139900kr,"175 61 Järfälla, Stockholm",Jan 2016,16800 mil,2.0L Diesel,Manual,164 HP (120 kW)
Peugeot 2008 130 HK GT-Pack HDI Automat,239900kr,"65341 Karlstad, Värmland",Jul 2022,7200 mil,1.5L Diesel,Automatic,131 HP (96 kW)
"Mazda 6 Kombi 2.0 SKYACTIV-G, Vision pack/Navi/Automat",184900kr,"195 61 Arlandastad, Stockholm",Jul 2017,7905 mil,2.0L Petrol,Automatic,165 HP (121 kW)
Citroën C4 SHINE PureTech 130 Shine,256500kr,"61244 Finspång, Östergötland",Jan 2023,4500 mil,1.2L Petrol,Automatic,131 HP (96 kW)
Peugeot 208 Allure Pack 100 Hk Automat,189900kr,"65341 Karlstad, Värmland",Jan 2022,3371 mil,1.2L Petrol,Automatic,101 HP (74 kW)
Nissan X-Trail 1.6 dCi 130hk Backkamera Navi Drag Nyservad,99900kr,"175 61 Järfälla, Stockholm",Jul 2015,20600 mil,1.6L Diesel,Manual,131 HP (96 kW)
Citroën C4 SHINE PureTech 130Hk Automat,259900kr,"60361 NORRKÖPING, Östergötland",Jun 2023,3289 mil,1.2L Petrol,Automatic,131 HP (96 kW)
Nissan Qashqai 1.3 DIG-T Privatleasing Kampanj från 4295 Kr/Mån! 2024 Grå,294800kr,"195 61 Arlandastad, Stockholm",Jan 2024,1 mil,1.3L Petrol,Automatic,160 HP (117 kW)
Nissan Qashqai TEKNA INK SERVICEAVTAL,320800kr,"195 61 Arlandastad, Stockholm",Jan 2024,1 mil,1.3L Petrol,Automatic,158 HP (116 kW)
Nissan Qashqai TEKNA + INK SERVICEAVTAL,367000kr,"195 61 Arlandastad, Stockholm",Jan 2024,1.3L Petrol,Automatic,158 HP (116 kW),"195 61 Arlandastad, Stockholm"
Nissan Qashqai 1.3 DIG-T XTRONIC 158hk N-CONNECTA INKL 3 ÅRS SERVICE!,316300kr,"195 61 Arlandastad, Stockholm",Jan 2024,1.3L Petrol,Automatic,158 HP (116 kW),"195 61 Arlandastad, Stockholm"
Subaru Solterra Touring+ 72.6 kWh AWD/Panorama/360°/DEMO,510000kr,"195 61 Arlandastad, Stockholm",Jul 2024,400 mil,Electric,≈ 466 km,Automatic
Nissan Ariya Engage 87 kWh 238 hk 100 %EL / Service ingår*,522500kr,"195 61 Arlandastad, Stockholm",1 mil,Electric,≈ 536 km,Automatic,178 kW (243 HP)
"Peugeot Boxer 330 2,0 140",174875kr,"60361 NORRKÖPING, Östergötland",Jan 2019,14600 mil,2.2L Diesel,Manual,141 HP (103 kW)
Volvo XC60 B4 AWD,359000kr,"Stockholm, Stockholm",Aug 2021,10932 mil,2.0L Diesel,Automatic,200 HP (147 kW)
Volvo XC40 T4 Recharge Inscription Expression Klimatpaket Navigation Pro Parkeringskamera Bak,368000kr,"Stockholm, Stockholm",1 / 2,Dec 2021,5 200 mil,1.5L Hybrid,Automatic
Volvo V40 D2,159800kr,"KUNGSÄNGEN, Stockholm",Aug 2014,5 422 mil,1.6L Diesel,Automatic,
Volvo V60 Recharge T6 AWD,249800kr,"KUNGSÄNGEN, Stockholm",1 / 3,May 2021,14 795 mil,2.0L Hybrid,Automatic
Volvo V60 D4,209800kr,"KUNGSÄNGEN, Stockholm",Dec 2020,19534 mil,2.0L Diesel,Automatic,192 HP (141 kW)
Volvo XC40 P6 Recharge,394900kr,"UPPLANDS VÄSBY, Stockholm",2022,3200 mil,1.5L Electric,≈ 423 km,Automatic
Volvo XC60 B4 AWD,442900kr,"Hisings Backa, Västra Götaland",1 / 3,Dec 2023,2 362 mil,2.0L Diesel,Automatic
Volvo EX30 Twin Motor Performance Ultra,449900kr,"UPPLANDS VÄSBY, Stockholm",1 / 1,May 2023,450 mil,Electric,≈ 460 km
Volvo V60 T4 Momentum Advanced Edition,319900kr,"Hisings Backa, Västra Götaland",1 / 3,Aug 2020,4 221 mil,2.0L Petrol,Automatic
Volvo XC60 T6 AWD Recharge,399900kr,"UPPLANDS VÄSBY, Stockholm",Aug 2021,10516 mil,2.0L Hybrid,Automatic,344 HP (253 kW)
Volvo S60 T6 AWD Recharge,579900kr,"Göteborg, Västra Götaland",2024,2.0L Hybrid,Automatic,404 HP (297 kW),17 g CO2/km comb.
Volvo EC40 Single Motor Extended Range,579900kr,"Göteborg, Västra Götaland",Aug 2024,Electric,Automatic,188 kW (256 HP),0 g CO2/km comb.
Volvo V90 B4,449900kr,"UPPLANDS VÄSBY, Stockholm",Aug 2024,1 mil,2.0L Petrol,Automatic,200 HP (147 kW)
Volvo V90 B4 Bensin Plus Bright,494900kr,"UPPLANDS VÄSBY, Stockholm",Aug 2024,2.0L Petrol,Automatic,200 HP (147 kW),161 g CO2/km comb.
Isuzu D-Max Crew Cab 1.9 CNG 4WD Euro 6 XRX,412125kr,"281 33 Hässleholm, Skåne",2021,12 533 mil,1.9L Diesel,Automatic,
Volvo V90 T6 AWD Recharge,464900kr,"ENKÖPING, Uppsala",1 / 3,Dec 2023,2 176 mil,2.0L Hybrid,Automatic
Volvo XC40 P6 Recharge,379900kr,"ENKÖPING, Uppsala",2022,3756 mil,1.5L Electric,≈ 423 km,Automatic
Volvo EC40 Single Motor Plus Edition 0% RÄNTA*,374900kr,"ENKÖPING, Uppsala",Oct 2022,3247 mil,Electric,Automatic,172 kW (234 HP)
Volvo V90 T6 AWD Recharge,339900kr,"KUNGSÄNGEN, Stockholm",1 / 3,Nov 2021,10 584 mil,2.0L Hybrid,Automatic
Volvo XC60 T8 TwEn AWD,419000kr,"Göteborg, Västra Götaland",1 / 3,Sep 2020,8 090 mil,2.0L Hybrid,Automatic
Volvo XC60 T6 AWD Recharge,429900kr,"KUNGSÄNGEN, Stockholm",1 / 3,Jan 2020,7 030 mil,2.0L Hybrid,Automatic
Volvo V90 T6 AWD Recharge,449900kr,"KUNGSÄNGEN, Stockholm",1 / 3,Mar 2023,3 709 mil,2.0L Hybrid,Automatic
Volvo XC60 T8 AWD Recharge,569000kr,"Stockholm, Stockholm",Nov 2022,5319 mil,2.0L Hybrid,Automatic,463 HP (340 kW)
Volvo XC60 T8 AWD Recharge,549000kr,"Stockholm, Stockholm",May 2022,6500 mil,2.0L Hybrid,Automatic,463 HP (340 kW)
Volvo XC90 D5 AWD,449900kr,"Sollentuna, Stockholm",Apr 2019,9 174 mil,2.0L Diesel,Automatic,
Volvo V90 Recharge T6 II Inscr Expression NYA BATTERIET,369900kr,"ENKÖPING, Uppsala",1 / 3,Apr 2022,10 913 mil,2.0L Electric/Petrol,Automatic
VW ID4 Pure Performance (170hk) DRAG / NAVI / CARPLAY,284900kr,"431 53 Mölndal, Västra Götaland",2021,2851 mil,Electric,≈ 361 km,Automatic
Tesla Model Y Long Range AWD Adaptiv Farthållare Pano 360° kamera,409900kr,"213 75 Malmö, Skåne",2021,3600 mil,Electric,≈ 507 km,Automatic
Polestar 2 Long Range Single Motor 78kWh,339900kr,"UPPLANDS VÄSBY, Stockholm",Nov 2021,4844 mil,Electric,≈ 551 km,Automatic
"VW ID4 Pro Performance, 204Hk, 2022, Navi",279900kr,"431 53 Mölndal, Västra Götaland",2022,9208 mil,Electric,≈ 537 km,Automatic
Polestar 2 Standard Range Single Motor,329000kr,"Stockholm, Stockholm",Oct 2021,3704 mil,Electric,Automatic,167 kW (228 HP)
Polestar 2 Standard Range Single Motor,319000kr,"Stockholm, Stockholm",Jan 2021,5161 mil,Electric,Automatic,167 kW (228 HP)
Polestar 2 Standard Range Single Motor,379000kr,"Stockholm, Stockholm",Oct 2022,3913 mil,Electric,≈ 487 km,Automatic
Volvo XC60 T8 TwEn AWD,429900kr,"KUNGSÄNGEN, Stockholm",Jun 2021,9204 mil,2.0L Hybrid,Automatic,398 HP (292 kW)
Volvo V60 B4 Diesel Momentum Advanced SE (SELEKT),299900kr,"Sollentuna, Stockholm",Apr 2021,7249 mil,2.0L Diesel,Automatic,200 HP (147 kW)
Volvo V60 Recharge T8 II R-Design HÖGSPEC NYA BATTERIET,449900kr,"ENKÖPING, Uppsala",Feb 2022,7463 mil,2.0L Electric/Petrol,Automatic,463 HP (340 kW)
Mazda CX-60 Homura COSO PHEV Euro 6,558100kr,"281 33 Hässleholm, Skåne",2024,1 mil,2.5L Hybrid,Automatic,327 HP (240 kW)
Mazda CX-60 Homura Conv & Sound PHEV,558100kr,"281 33 Hässleholm, Skåne",2024,1 mil,2.5L Hybrid,Automatic,327 HP (240 kW)
Volvo XC60 T6 AWD Recharge Inscr Expression T,419900kr,"VALLENTUNA, Stockholm",Feb 2021,7137 mil,2.0L Electric/Petrol,Automatic,344 HP (253 kW)
Volvo XC40 P6 Recharge,379900kr,"Sollentuna, Stockholm",Jan 2021,3760 mil,1.5L Electric,≈ 423 km,Automatic
Volvo XC40 B4,338000kr,"Stockholm, Stockholm",Nov 2023,3147 mil,2.0L Petrol,Automatic,200 HP (147 kW)
Volvo XC60 B5 AWD,399000kr,"Stockholm, Stockholm",Jun 2022,6177 mil,2.0L Petrol,Automatic,252 HP (185 kW)
Volvo V60 D3 AWD,249000kr,"Stockholm, Stockholm",Nov 2019,11219 mil,2.0L Diesel,Automatic,151 HP (111 kW)
Volvo XC60 T6 AWD Recharge,418000kr,"Stockholm, Stockholm",Nov 2021,8970 mil,2.0L Hybrid,Automatic,344 HP (253 kW)
Volvo XC60 B5 AWD,479000kr,"Göteborg, Västra Götaland",Dec 2023,2008 mil,2.0L Petrol,Automatic,253 HP (186 kW)
Volvo XC60 T8 AWD Recharge,499900kr,"KUNGSÄNGEN, Stockholm",Jan 2022,11690 mil,2.0L Hybrid,Automatic,463 HP (340 kW)
Volvo XC70 D4 AWD,209900kr,"ENKÖPING, Uppsala",Mar 2016,19572 mil,2.4L Diesel,Automatic,184 HP (135 kW)
VW ID4 ID.4Pro Performance 204hk | Dragkrok | Räckvidd 516km |,274900kr,"213 75 Malmö, Skåne",2021,10923 mil,Electric,≈ 537 km,Automatic
Volvo XC40 B4 FWD Bensin Mom Adv Navi Pro Edt,289900kr,"Hisings Backa, Västra Götaland",Sep 2021,10946 mil,2.0L Petrol,Automatic,200 HP (147 kW)
Renault Zoe R135 PhII 52 kWh Intens batteriköp,179900kr,"Sollentuna, Stockholm",Aug 2021,2351 mil,Electric,≈ 385 km,Automatic
Renault Zoe R110,164900kr,"Sollentuna, Stockholm",Jan 2021,2537 mil,Electric,≈ 395 km,Automatic
Renault Zoe R110,159900kr,"Sollentuna, Stockholm",Sep 2021,4582 mil,Electric,≈ 395 km,Automatic
Volvo XC40 B4 FWD Bensin Core (SELEKT),339900kr,"Sollentuna, Stockholm",Sep 2023,3292 mil,2.0L Petrol,Automatic,200 HP (147 kW)
Volvo XC40 B4,339900kr,"Sollentuna, Stockholm",Aug 2023,3023 mil,2.0L Petrol,Automatic,200 HP (147 kW)
Volvo V60 B4,289900kr,"Sollentuna, Stockholm",Jun 2021,9344 mil,2.0L Diesel,Automatic,200 HP (147 kW)
Volvo XC40 B4 FWD Bensin Core SE II,339900kr,"Sollentuna, Stockholm",Dec 2023,2980 mil,2.0L Petrol,Automatic,200 HP (147 kW)
Volvo XC40 B4 FWD Bensin Core (SELEKT),339900kr,"Sollentuna, Stockholm",Sep 2023,3010 mil,2.0L Petrol,Automatic,200 HP (147 kW)
Mazda CX-5 VisionPlus 2.0 160hk AWD AUT/HUD/NAV,214900kr,"141 74 Segeltorp, Stockholm",2018,9841 mil,2.0L Petrol,Automatic,161 HP (118 kW)
"Mini Cooper S 5-dörrars Steptronic, 178hk, 2022 | Säljes Nyservad",257500kr,"213 75 Malmö, Skåne",2022,3026 mil,2.0L Petrol,Automatic,179 HP (131 kW)
Volvo XC40 P6 Recharge,354900kr,"Sollentuna, Stockholm",Apr 2022,9372 mil,1.5L Electric,≈ 423 km,Automatic
Volvo XC40 P6 Recharge,398000kr,"Stockholm, Stockholm",2021,3919 mil,1.5L Electric,≈ 423 km,Automatic
Volvo XC40 P6 Recharge,398000kr,"Stockholm, Stockholm",2 508 mil,1.5L Electric,≈ 423 km,Automatic,169 kW (231 HP)
Volvo V60 D3 Classic Momentum VOC Rattvärme Farth,179800kr,"KUNGSÄNGEN, Stockholm",Feb 2017,10101 mil,2.0L Diesel,Manual,151 HP (111 kW)
Volvo XC90 D4 AWD,359800kr,"KUNGSÄNGEN, Stockholm",Sep 2017,11401 mil,2.0L Diesel,Automatic,192 HP (141 kW)
Volvo XC40 P6 Recharge,398000kr,"Stockholm, Stockholm",Apr 2022,2771 mil,1.5L Electric,≈ 423 km,Automatic
Volvo V60 D4,243000kr,"Hisings Backa, Västra Götaland",Aug 2020,15018 mil,2.0L Diesel,Automatic,192 HP (141 kW)
Volvo XC60 Recharge T6 Core Edition,509000kr,"Stockholm, Stockholm",Oct 2023,2751 mil,2.0L Hybrid,Automatic,355 HP (261 kW)
Volvo XC60 Recharge T6 AWD,509000kr,"Stockholm, Stockholm",Oct 2023,2794 mil,2.0L Hybrid,Automatic,355 HP (261 kW)
"Kia Niro Plug-In-Hybrid DCT Advance, EX Euro 6",388700kr,"281 33 Hässleholm, Skåne",Jun 2024,9 mil,1.6L Hybrid,Automatic,184 HP (135 kW)
Volvo XC40 B4,364900kr,"Hisings Backa, Västra Götaland",Dec 2023,1816 mil,2.0L Petrol,Automatic,200 HP (147 kW)
Volvo XC40 B4,359900kr,"Hisings Backa, Västra Götaland",2023,2464 mil,2.0L Petrol,Automatic,200 HP (147 kW)
Mitsubishi Outlander P-HEV CVT 4WD Business Keyless Rattvärme 360-Kamera,204900kr,"213 75 Malmö, Skåne",2018,10289 mil,2.0L Hybrid,Automatic,203 HP (149 kW)
Honda HR-V Helljusassistans Farthållare P-Sensore Fartbegränsare,149900kr,"213 75 Malmö, Skåne",2016,6754 mil,1.5L Petrol,Manual,131 HP (96 kW)
Volvo XC40 P6 Recharge,379900kr,"ENKÖPING, Uppsala",2022,4300 mil,1.5L Electric,≈ 423 km,Automatic
Volvo V60 Recharge T8 AWD,339900kr,"KUNGSÄNGEN, Stockholm",Feb 2021,10117 mil,2.0L Hybrid,Automatic,398 HP (292 kW)
Volvo S90 Recharge T8 Inscription,459900kr,"ENKÖPING, Uppsala",May 2021,4883 mil,2.0L Hybrid,Automatic,392 HP (288 kW)
Polestar 2 Long Range Single Motor 78kWh,359900kr,"ENKÖPING, Uppsala",Oct 2021,2631 mil,Electric,≈ 551 km,Automatic
Volvo XC40 P6 Recharge,339900kr,"ENKÖPING, Uppsala",Apr 2022,9677 mil,1.5L Electric,≈ 423 km,Automatic
Volvo XC60 Recharge T6 AWD,499900kr,"KUNGSÄNGEN, Stockholm",Sep 2023,3025 mil,2.0L Hybrid,Automatic,355 HP (261 kW)
Volvo XC60 T6 AWD Recharge,369900kr,"UPPLANDS VÄSBY, Stockholm",Nov 2020,11568 mil,2.0L Hybrid,Automatic,344 HP (253 kW)
Volvo XC60 T6 AWD Recharge,469900kr,"KUNGSÄNGEN, Stockholm",Nov 2021,4180 mil,2.0L Hybrid,Automatic,344 HP (253 kW)
Peugeot 5008 1.2 GT BlackPack Automat 130HK Automat,349900kr,"35033  VÄXJÖ, Kronoberg",2024,550 mil,1.2L Petrol,Automatic,131 HP (96 kW)
