Name,Price,Location,Model_Year,Mileage,Fuel_Type,Gearbox,Gearbox2
"Ford Focus Kombi 1.0 EcoBoost Manuell, 125hk",129000kr,"374 32 Karlshamn, Blekinge",2018,10500 mil,1.0L Petrol,Manual,126 HP (92 kW)
Ford Mustang Mach-E AWD LONG RANGE 351hk Teknikpaket+,449900kr,"164 74 Kista, Stockholm",2021,7000 mil,Electric,≈ 550 km,Automatic
Nissan Leaf LeafN-CONNECTA MY20 40 KWH LED,179900kr,"163 53 Spånga, Stockholm",2021,5139 mil,Electric,≈ 270 km,Automatic
Ford Focus 5D Active 1.0T ECOBOOST 125HK EDITION 6M,174900kr,"164 74 Kista, Stockholm",2022,5916 mil,1.0L Petrol,Manual,126 HP (92 kW)
Nissan Leaf TEKNA 62KWH,204900kr,"254 66 Helsingborg, Skåne",2020,6500 mil,Electric,≈ 385 km,Automatic
Ford Focus 1.0 EcoBoost SelectShift 125hk,184900kr,"164 74 Kista, Stockholm",4 100 mil,1.0L Petrol,Automatic,126 HP (92 kW),5.1 L/10mil
"Ford Mustang Mach-E GT AWD, LONG RANGE 487 HK",499900kr,"168 67 Bromma, Stockholm",2021,6450 mil,Electric,≈ 500 km,Automatic
Ford Mustang Mach-E AWD Long Range Tekninkp +| Panorama |B&O,399990kr,"431 49 Mölndal, Västra Götaland",2021,8000 mil,Electric,≈ 540 km,Automatic
"Nissan Leaf LeafACENTA MY20 40 KWH DRIVER ASSIST PACK 6,6 KW",169900kr,"164 74 Kista, Stockholm",2021,4442 mil,Electric,≈ 385 km,Automatic
Ford Kuga Active Plug-In Hybrid | Privatleasa fr. 5095kr/mån,489900kr,"441 39 Alingsås, Västra Götaland",2024,1 mil,2.5L Hybrid,Automatic,244 HP (179 kW)
Nissan Leaf LeafACENTA 40 KWH DRIVER ASSIST PACK,179900kr,"432 32 Varberg, Halland",2021,5823 mil,Electric,≈ 385 km,Automatic
Nissan Leaf LeafN-CONNECTA 39 KWH LED,224900kr,"432 32 Varberg, Halland",Oct 2022,2633 mil,Electric,≈ 385 km,Automatic
Ford Focus Active 1.0 EcoBoost Active Manuell Euro 6,169900kr,"164 74 Kista, Stockholm",2020,3368 mil,1.0L Petrol,Manual,126 HP (92 kW)
Kia e-Niro E-NiroADVANCE,269000kr,"231 66 Trelleborg, Skåne",2021,4979 mil,Electric,≈ 455 km,Automatic
Ford Mustang Mach-E SR AWD Teknikpkt Privatleasing fr. 6995,399900kr,"431 49 Mölndal, Västra Götaland",2021,6380 mil,Electric,≈ 400 km,Automatic
"Ford Mustang Mach-E Standard Range AWD, 269hk, Carplay/360-Kamera - 2021",399900kr,"254 53 Helsingborg, Skåne",2021,5142 mil,Electric,≈ 400 km,Automatic
Ford Mustang Mach-E Mach-E CX727 RWD SR AUT,399900kr,"721 37 Västerås, Västmanland",2022,4500 mil,Electric,≈ 610 km,Automatic
"Ford Mustang Mach-E Mustang Mach-E RWD, STANDARD RANGE (70 KWH) 269 HK",399900kr,"141 74 Segeltorp, Stockholm",2022,3700 mil,Electric,≈ 400 km,Automatic
Ford Mustang Mach-E Mustang Mach-E RWD STANDARD RANGE,399900kr,"164 74 Kista, Stockholm",2022,1706 mil,Electric,≈ 400 km,Automatic
Ford Mustang Mach-E Mustang Mach-E RWD STANDARD RANGE,399900kr,"141 74 Segeltorp, Stockholm",2022,3500 mil,Electric,≈ 400 km,Automatic
"Ford Focus Active Edition 1.0T EcoBoost, 125hk, fr 3395kr/mån",231920kr,"152 42 Södertälje, Stockholm",2024,1 mil,1.0L Petrol,Manual,125 HP (91 kW)
"Ford Focus 5d ST-Line 1,0 EcoBoost 125hk manuell",179900kr,"302 41 Halmstad, Halland",2 171 mil,1.0L Petrol,Manual,126 HP (92 kW),5.6 L/10mil
Ford Kuga ST-line X Plug-In Hybrid 2.5 225hk,299900kr,"633 46 Eskilstuna, Södermanland",Mar 2020,3869 mil,2.5L Hybrid,Automatic,225 HP (165 kW)
Kia e-Niro ADVANCE 64KWH BACKKAMERA,274900kr,"141 74 Segeltorp, Stockholm",2021,4496 mil,Electric,≈ 455 km,Automatic
Ford Mustang Mach-E AWD SR PL Kampanj 5.495:-/mån,359920kr,"141 74 Segeltorp, Stockholm",2021,3500 mil,Electric,≈ 400 km,Automatic
Ford Kuga ACTIVE 2.5 PLUG-IN FWD 243HK 69km,512700kr,"137 69 Österhaninge, Stockholm",2025,1 mil,2.5L Hybrid,Automatic,244 HP (179 kW)
Ford Kuga ST-Line X Plug-In Hybrid E-CVT 225hk el Drag,319800kr,"425 37 Hisings Kärra, Västra Götaland",2022,4925 mil,2.5L Hybrid,Automatic,225 HP (165 kW)
Ford Kuga Active 2.5 Plug-in Hybrid FWD 243hk,489900kr,"432 48 Varberg, Halland",2024,1 mil,2.5L Hybrid,Automatic,244 HP (179 kW)
Ford Focus MHEV 125HK KAMPANJ PRIVATLEASING fr 2995kr/MÅN,289900kr,"507 30 Brämhult, Västra Götaland",2024,1 mil,1.0L Petrol,Automatic,125 HP (91 kW)
Ford Mustang Mach-E AWD SR | * KAMPANJ * | OMGÅENDE LEVERANS,399900kr,"441 39 Alingsås, Västra Götaland",2022,2000 mil,Electric,≈ 400 km,Automatic
Ford Mustang Mach-E AWD SR AUT TEKNIKPAKET,399900kr,"507 30 Brämhult, Västra Götaland",2021,4600 mil,Electric,≈ 400 km,Automatic
Kia e-Niro 64 kWh | ADVANCED PLUS | 204Hk | Carplay,224900kr,"431 49 Mölndal, Västra Götaland",2019,8200 mil,Electric,≈ 455 km,Automatic
Ford Mustang Mach-E AWD Standard Range Teknikpaket 269hk,399900kr,"262 72, Skåne",2022,3000 mil,Electric,≈ 400 km,Automatic
Ford Mustang Mach-E AWD SR PL 4995kr/mån inkl försäkring,399900kr,"434 37 Kungsbacka, Halland",2022,2000 mil,Electric,≈ 400 km,Automatic
Kia e-Niro Advance 64 kWh 204 Hk Backkamera Privatleasing Fr 4.595 Kr,259900kr,"141 74 Segeltorp, Stockholm",2021,5507 mil,Electric,≈ 455 km,Automatic
Kia e-Niro E-NiroADVANCE,279000kr,"691 47 Karlskoga, Örebro",2021,3450 mil,Electric,≈ 455 km,Automatic
Ford Kuga Active Plug-In Hybrid nu med 2100kg dragvikt,439900kr,"633 46 Eskilstuna, Södermanland",2024,2.5L Hybrid,Automatic,184 HP (135 kW),5.7 L/10mil
Ford Puma ST-Line EcoBoost Aut mHEV Ski Team Edition Kampanj Kampanj,279900kr,"164 74 Kista, Stockholm",2024,1.0L Petrol,Automatic,126 HP (92 kW),"164 74 Kista, Stockholm"
"Ford Puma Puma Privatleasing1.0 EcoBoost Hybrid DCT, 125hk, 2024",271400kr,"164 74 Kista, Stockholm",2024,1.0L Hybrid,Automatic,126 HP (92 kW),52.0 L/10mil
Ford Focus Active 5D 1.0L 125hk E85 Låg skatt,299900kr,"633 46 Eskilstuna, Södermanland",2024,1 mil,1.0L Ethanol (E85),Automatic,126 HP (92 kW)
Ford Kuga Active Plug-in hybrid 243 hk,489900kr,"431 49 Mölndal, Västra Götaland",2024,1 mil,2.5L Hybrid,Automatic,243 HP (178 kW)
Ford Kuga Active 2.5 Plug-In Hybrid FWD 243hk,489900kr,"434 37 Kungsbacka, Halland",2024,1 mil,2.5L Hybrid,Automatic,244 HP (179 kW)
Ford Kuga Active 2.5 Plug-In Hybrid FWD 243hk,489900kr,"164 74 Kista, Stockholm",2024,1 mil,2.5L Hybrid,Automatic,244 HP (179 kW)
Ford Kuga Active Plug-In Hybrid 243hk 69km räckvidd 2100kg Dragvikt,489900kr,"633 46 Eskilstuna, Södermanland",2024,1 mil,2.5L Hybrid,Automatic,244 HP (179 kW)
Ford Kuga ST-Line Plug-in hybrid / KAMPANJ LAGERBIL,409900kr,"254 53 Helsingborg, Skåne",2024,2.5L Hybrid,Automatic,225 HP (165 kW),1.2 L/10mil
Ford Puma Titanium Special Edition E85 125hk Lagerkampanj,271400kr,"262 72, Skåne",2024,1.0L Ethanol (E85),Manual,126 HP (92 kW),
Kia e-Niro NiroADVANCE PLUS,269900kr,"231 66 Trelleborg, Skåne",4 480 mil,Electric,≈ 455 km,Automatic,150 kW (204 HP)
Kia e-Niro NiroADVANCE,289900kr,"761 43 Norrtälje, Stockholm",2 680 mil,Electric,Automatic,11 kW (15 HP),0 g CO2/km comb.
Ford Mustang Mach-E Mach-E AWD SR AUT,399900kr,"213 76 Malmö, Skåne",5 600 mil,Electric,≈ 540 km,Automatic,258 kW (351 HP)
Nissan Leaf LeafN-CONNECTA MY21 40 KWH LED,204900kr,"164 74 Kista, Stockholm",3 855 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf N-CONNECTA MY21 40 KWH,199900kr,"254 66 Helsingborg, Skåne",3 500 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf LeafN-CONNECTA MY21 40 KWH LED,204900kr,"254 66 Helsingborg, Skåne",1 350 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf LeafN-CONNECTA MY21 40 KWH LED,189900kr,"754 54 Uppsala, Uppsala",5 900 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf LeafN-CONNECTA 39 KWH LED,209000kr,"334 32 Anderstorp, Jönköping",3 947 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Ford Kuga Titanium Phev |225hk|,269900kr,"302 41 Halmstad, Halland",3 700 mil,2.5L Hybrid,Manual,225 HP (165 kW),22 g CO2/km comb.
Ford Kuga Titanium Phev |225hk|360kr skatt|,269900kr,"302 41 Halmstad, Halland",4 000 mil,2.5L Hybrid,Manual,225 HP (165 kW),22 g CO2/km comb.
Ford Focus Titanium Kombi 1.0 125hk EcoBoost Automat (se utrustning),109900kr,"302 41 Halmstad, Halland",14 550 mil,1.0L Petrol,Automatic,126 HP (92 kW),125 g CO2/km comb.
Ford Kuga KugaTITANIUM 2.5 PLUG-IN HYBRID FWD 225HK CVT,269900kr,"164 74 Kista, Stockholm",4 000 mil,2.5L Hybrid,Automatic,225 HP (165 kW),22 g CO2/km comb.
Ford Kuga Titanium Plug-In Hybrid 225hk Räntekampanj 0%,269900kr,"721 37 Västerås, Västmanland",3 423 mil,2.5L Hybrid,Manual,225 HP (165 kW),5.3 L/10mil
Ford Kuga Plug-in hybrid | Vinterpaket | Upp till 64km på el,269000kr,"749 47 Enköping, Uppsala",4 000 mil,2.5L Hybrid,Manual,26 g CO2/km comb.,"749 47 Enköping, Uppsala"
Nissan Leaf E+ N-CONNECTA 39 KWH LED Keyless 360° kamera Rattvärme,199900kr,"749 47 Enköping, Uppsala",1 466 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf LeafN-CONNECTA MY22 39 KWH LED,209900kr,"461 70 Trollhättan, Västra Götaland",3 985 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Kia e-Niro E-NiroADVANCE,279900kr,"212 37 Malmö, Skåne",5 112 mil,Electric,≈ 455 km,Automatic,150 kW (204 HP)
Nissan Leaf N-CONNECTA 40KWH | KAMPANJRÄNTA 0%!!,189900kr,"451 76 Uddevalla, Västra Götaland",4 600 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf N-CONNECTA 40 KWh | PRIVATLEAS 3495:-/ 0% RÄNTEKAMPANJ,199800kr,"176 76 Järfälla, Stockholm",4 500 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf N-CONNECTA 40 KWh | PRIVATLEAS 3495:- / 0% Finansränta,179800kr,"176 76 Järfälla, Stockholm",3 950 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf LeafN-CONNECTA MY22 39 KWH LED,209900kr,"163 53 Spånga, Stockholm",1 606 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf N-Connecta 40 KWH LED,209900kr,"504 31 Borås, Västra Götaland",2 560 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
"Nissan Leaf LeafACENTA MY20 40 KWH 6,6 KW CHARGER",184900kr,"164 74 Kista, Stockholm",2 861 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Ford Kuga ST-Line X Business Plug-In Hybrid 2.5 225HK Drag,284900kr,"434 37 Kungsbacka, Halland",10 595 mil,2.5L Hybrid,Manual,225 HP (165 kW),23 g CO2/km comb.
Nissan Leaf LeafN-CONNECTA MY21 40 KWH LED,189900kr,"164 74 Kista, Stockholm",6 000 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf N-CONNECTA 39 KWH MOMS NAVI 360 CARPLAY,209900kr,"754 54 Uppsala, Uppsala",3 000 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf N-CONNECTA 40KWH MOMS NAVI CARPLAY,209900kr,"754 54 Uppsala, Uppsala",2 283 mil,Electric,≈ 398 km,Automatic,160 kW (218 HP)
Nissan Leaf N-CONNECTA MY21 40 KWH,199900kr,"254 66 Helsingborg, Skåne",4 000 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf LeafN-CONNECTA MY21 40 KWH LED,199900kr,"164 74 Kista, Stockholm",4 389 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf LeafN-CONNECTA 40 KWH LED,199900kr,"432 32 Varberg, Halland",4 000 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf LeafN-CONNECTA MY21 40 KWH LED,189900kr,"451 76 Uddevalla, Västra Götaland",5 130 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf N-CONNECTA MY21 40 KWH,189900kr,"254 66 Helsingborg, Skåne",5 900 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf N-CONNECTA MY21 40 KWH,199900kr,"254 66 Helsingborg, Skåne",4 500 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf LeafN-CONNECTA MY21 40 KWH LED,199900kr,"164 74 Kista, Stockholm",4 449 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf LeafN-CONNECTA 40 KWH LED,199900kr,"432 32 Varberg, Halland",3 635 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Kia e-Niro E-NiroADVANCE,279900kr,"212 37 Malmö, Skåne",5 300 mil,Electric,≈ 455 km,Automatic,150 kW (204 HP)
Kia e-Niro NiroAdvance,279900kr,"441 39 Alingsås, Västra Götaland",4 525 mil,Electric,Automatic,11 kW (15 HP),0 g CO2/km comb.
MG ZS EV LUXURY PRIVATLEASINGKAMPANJ 4295KR/MÅNAD,259900kr,"431 68 Mölndal, Västra Götaland",3 761 mil,Electric,≈ 320 km,Automatic,130 kW (177 HP)
Kia e-Niro E-NiroADVANCE / LUFTVÄRMEPUMP / GODKÄND,279900kr,"461 70 Trollhättan, Västra Götaland",4 620 mil,Electric,≈ 455 km,Automatic,150 kW (204 HP)
Ford Mustang Mach-E Mach-E AWD SR TEK+,399900kr,"164 74 Kista, Stockholm",3 991 mil,Electric,≈ 540 km,Automatic,258 kW (351 HP)
Ford Mustang Mach-E |STANDARD RANGE| RWD|PL Kampanj|,399900kr,"441 39 Alingsås, Västra Götaland",2 700 mil,Electric,≈ 610 km,Automatic,216 kW (294 HP)
Kia e-Niro NiroADVANCE 0% RÄNTA,289900kr,"212 37 Malmö, Skåne",3 905 mil,Electric,≈ 455 km,Automatic,150 kW (204 HP)
Nissan Leaf LeafN-CONNECTA 40 KWH,199900kr,"754 54 Uppsala, Uppsala",3 700 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf LeafN-CONNECTA MY21 40 KWH LED,204900kr,"141 74 Segeltorp, Stockholm",2 400 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Kia e-Niro ADVANCE,279900kr,"212 37 Malmö, Skåne",4 493 mil,Electric,Automatic,11 kW (15 HP),0 g CO2/km comb.
Nissan Leaf 18 MÅN PRIVAT LEASING ALL INCLUSIVE 3995KR /MÅN,189900kr,"164 74 Kista, Stockholm",4 755 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf N-CONNECTA MY21 40 KWH LED,199900kr,"164 74 Kista, Stockholm",3 584 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Nissan Leaf N-CONNECTA MY21 40 KWH,199900kr,"254 66 Helsingborg, Skåne",3 200 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Kia e-Niro ADVANCE 64 kWh,289900kr,"431 68 Mölndal, Västra Götaland",3 400 mil,Electric,≈ 455 km,Automatic,150 kW (204 HP)
Nissan Leaf N-CONNECTA 40 KWh | PRIVATLEAS 3495:-,199800kr,"176 76 Järfälla, Stockholm",4 401 mil,Electric,≈ 385 km,Automatic,160 kW (218 HP)
Ford Mustang Mach-E ,399900kr,"721 37 Västerås, Västmanland",1 mil,Electric,≈ 400 km,Automatic,197 kW (269 HP)
"Kia e-Niro Advance Plus, 204 hk, Kamera",249900kr,"291 50 Kristianstad, Skåne",Jul 2021,5846 mil,Electric,≈ 455 km,Automatic
Ford Puma Titanium 1.0T EcoBoost E85 (125hk) NAVI / CARPLAY,189900kr,"431 53 Mölndal, Västra Götaland",Sep 2022,1185 mil,1.0L Ethanol (E85),Manual,126 HP (92 kW)
Ford Mustang Mach-E Standard Range 269hk Moms|Kamera|GPS,369900kr,"141 74 Segeltorp, Stockholm",2021,5983 mil,Electric,≈ 440 km,Automatic
"Kia e-Niro 64kwh, Advance, Navi, Apple carplay",249900kr,"291 50 Kristianstad, Skåne",2021,7566 mil,Electric,≈ 455 km,Automatic
Kia Sportage Sportage1.6 T-GDI DCT AWD GT LINE,194900kr,"431 53 Mölndal, Västra Götaland",2019,15671 mil,1.6L Petrol,Automatic,177 HP (130 kW)
